Feature,Component,Input_Fields,Output_Fields,Relations,Role_Requirements,Mutations,Filters,Sort_Options,Pagination,Upload_Needs
Marketplace Listing,MarketplacePage,user_id|title|description|price|brand_id|model_id|year|condition|fuel_type|transmission|mileage|location_id|images[],listing_id|status|created_at|updated_at|view_count|favorite_count,seller_id→profiles|brand_id→car_brands|model_id→car_models|location_id→locations|category_id→ad_categories,Create:authenticated|Read:public(approved)|Update:owner|Delete:owner+admin|Approve:admin+editor,createListing()|updateListing()|deleteListing()|approveListing()|boostListing(),category|brand|price_range|location|condition|fuel_type|year_range,newest|oldest|price_low|price_high|popular|featured,20_per_page,listing-images:10_max
Community Post,CommunitiesPage,user_id|community_id|content|car_brand|car_model|tags[]|images[]|visibility,post_id|status|created_at|updated_at|like_count|comment_count,author_id→profiles|community_id→communities|tags→post_tags,Create:authenticated|Read:public(visible)|Update:owner|Delete:owner+moderator|Moderate:editor+admin,createPost()|updatePost()|deletePost()|likePost()|pinPost()|hidePost(),community|brand|tags|visibility,newest|popular|trending,infinite_scroll,post-images:5_max
Garage Profile,GarageHubPage,owner_id|name|description|location_id|phone|email|services[]|specializations[]|hours|images[],garage_id|verified|rating|review_count|created_at,owner_id→profiles|location_id→locations|services→service_categories,Create:garage_owner|Read:public(verified)|Update:owner|Verify:admin,createGarage()|updateGarage()|verifyGarage()|rateGarage(),location|services|specializations|rating_min|verified_only,nearest|rating_high|rating_low|newest,20_per_page,garage-images:10_max
Repair Request,RepairBidPage,user_id|title|description|car_brand|car_model|urgency|location_id|budget|images[],request_id|status|created_at|bid_count,user_id→profiles|brand_id→car_brands|model_id→car_models|location_id→locations,Create:authenticated|Read:owner+garage_owners|Update:owner|Bid:garage_owner,createRequest()|updateRequest()|closeBid()|acceptBid(),category|location|urgency|status,newest|budget_low|budget_high|urgent_first,10_per_page,attachments:5_max
Repair Bid,RepairBidPage,garage_id|request_id|price|estimated_hours|description|warranty,bid_id|status|created_at,garage_id→garages|request_id→repair_requests,Create:garage_owner|Read:request_owner+bid_owner|Accept:request_owner,createBid()|updateBid()|withdrawBid(),None,price_low|price_high|rating_high,10_per_request,None
Event,EventsPage,organizer_id|title|description|location|start_time|end_time|max_attendees|car_brands[]|images[],event_id|status|attendee_count|created_at,organizer_id→profiles|location_id→locations,Create:authenticated|Read:public|Update:organizer|Register:authenticated,createEvent()|updateEvent()|deleteEvent()|registerForEvent()|unregisterFromEvent(),location|date_range|brands|status,start_date_asc|start_date_desc|popular,20_per_page,event-images:5_max
Offer,OffersPage,vendor_id|title|description|discount_percent|category|valid_until|terms|images[],offer_id|status|redemption_count|created_at,vendor_id→profiles|category_id→service_categories,Create:vendor+garage_owner|Read:public(active)|Update:vendor|Redeem:authenticated,createOffer()|updateOffer()|deleteOffer()|redeemOffer(),category|vendor|discount_min|location|active_only,featured|discount_high|discount_low|newest|ending_soon,20_per_page,offer-images:3_max
User Profile,ProfilePage,user_id,display_name|avatar_url|bio|vehicles[]|badges[]|achievements[]|xp_total|rank|follower_count|following_count|post_count|listing_count,id→profiles|badges→user_badges|achievements→user_achievements,Read:public|Update:owner,updateProfile()|uploadAvatar()|addVehicle()|removeVehicle(),None,None,None,avatars:1_file
Leaderboard,LeaderboardPage,period:daily|weekly|monthly,rankings[]{rank|user_id|display_name|avatar|xp_points|badge},period→leaderboard_daily|weekly|monthly,Read:public,None,period,rank_asc,50_per_page,None
Notification,NotificationsPage,user_id,notifications[]{id|type|payload|read_at|created_at},user_id→profiles,Read:owner|Update:owner|Delete:owner,markAsRead()|markAllAsRead()|deleteNotification(),type|read_status,newest|oldest,20_per_page,None
Wallet,WalletPage,user_id,balance|currency|transactions[]{id|type|amount|description|created_at},user_id→profiles→wallets,Read:owner|Debit:system|Credit:system+owner,topUpWallet()|debitWallet()|viewTransactions(),type|date_range,newest|oldest,25_per_page,None
Boost Package,MyBoostsPage,user_id|listing_id|package_id,boost_id|package_name|duration_hours|features[]|activated_at|expires_at,user_id→profiles|listing_id→listings|package_id→boost_packages,Read:owner|Purchase:authenticated,purchaseBoost()|activateBoost(),status:active|expired,expiring_soon|newest,10_per_page,None
Message,ConversationsPage,sender_id|recipient_id|content|conversation_id,message_id|read_at|created_at,sender→profiles|recipient→profiles|conversation_id→conversations,Read:participants|Send:authenticated,sendMessage()|markAsRead()|deleteMessage(),conversation|read_status,newest|oldest,50_per_conversation,attachments:3_max
Vehicle Verification,VerifyCarOwnerPage,user_id|brand|model|year|plate_number|emirate|registration_doc|photo,verification_id|status|submitted_at|approved_at|notes,user_id→profiles|brand→car_brands|model→car_models|emirate→locations,Create:user|Read:owner+admin|Approve:admin,submitVerification()|approveVerification()|rejectVerification(),status|brand|emirate,newest|pending_first,25_per_page,attachments:3_max
Garage Verification,VerifyGarageOwnerPage,user_id|garage_name|trade_license|location|services[]|docs[],verification_id|status|submitted_at|approved_at|notes,user_id→profiles|location→locations|services→service_categories,Create:garage_owner|Read:owner+admin|Approve:admin,submitVerification()|approveVerification()|rejectVerification(),status|location,newest|pending_first,25_per_page,attachments:5_max
Daily Challenge,LeaderboardPage,challenge_id|user_id,challenge_id|title|description|xp_reward|progress|completed_at,challenge_id→daily_challenges|user_id→profiles,Read:authenticated|Complete:authenticated,completeChallenge()|claimReward(),status:available|completed|claimed,None,None,None
Admin - User Management,AdminUsersPage,None,users[]{id|name|email|role|status|created_at|last_active},None,Read:admin+editor|Update:admin|Ban:admin,updateUserRole()|banUser()|unbanUser()|verifyUser(),role|status|verified|search,newest|last_active|name_asc,50_per_page,None
Admin - Listing Approval,AdminListingsApprovalPage,None,listings[]{id|title|seller|status|submitted_at|images_count},seller→profiles,Read:admin+editor|Approve:admin+editor|Reject:admin+editor,approveListing()|rejectListing()|requestChanges(),status|category|date_range,newest|pending_first,25_per_page,None
Admin - Content Moderation,AdminCommunityPage,None,posts[]{id|author|content|reports_count|status},author→profiles,Read:admin+editor|Hide:admin+editor|Delete:admin,hidePost()|deletePost()|resolveReport(),status|has_reports|brand,newest|most_reported,50_per_page,None
Admin - Analytics,AdminAnalyticsPage,date_range,metrics{signups|active_users|listings_created|revenue|engagement},None,Read:admin+editor,exportData(),date_range,None,None,None
Admin - Payments,AdminPaymentsPage,date_range,transactions[]{id|user|amount|type|status|created_at},user→profiles,Read:admin|Refund:admin,processRefund()|exportTransactions(),type|status|date_range|amount_range,newest|amount_high,50_per_page,None
Admin - Garage Verification,AdminGarageVerificationPage,None,verifications[]{id|garage_name|owner|status|submitted_at},owner→profiles,Read:admin+editor|Approve:admin|Reject:admin,approveGarage()|rejectGarage(),status|location|date_range,newest|pending_first,25_per_page,None
Admin - Offers Management,AdminOffersPage,None,offers[]{id|title|vendor|discount|status|redemptions},vendor→profiles,Read:admin+editor|Create:admin+editor|Update:admin+editor,createOffer()|updateOffer()|deactivateOffer(),status|category|vendor,newest|most_redeemed,25_per_page,None
Admin - XP Management,AdminXPManagementPage,None,xp_rules[]{id|action|points|conditions},None,Read:admin|Update:admin,updateXPRule()|createXPRule()|deleteXPRule(),action_type,None,25_per_page,None
Admin - Banners,BannerManager,None,banners[]{id|title|image|link|active|order},None,Read:admin+editor|Create:admin+editor|Update:admin+editor,createBanner()|updateBanner()|deleteBanner()|reorderBanners(),active_status,order_asc,10_per_page,brand-assets:1_per_banner
