
  
   Local          | Remote         | Time (UTC)          
  ----------------|----------------|---------------------
   20241101180000 | 20241101180000 | 2024-11-01 18:00:00 
   20241101183000 | 20241101183000 | 2024-11-01 18:30:00 
   20241101190000 | 20241101190000 | 2024-11-01 19:00:00 
   20241101205000 | 20241101205000 | 2024-11-01 20:50:00 
   20241101210000 | 20241101210000 | 2024-11-01 21:00:00 
   20241101211000 | 20241101211000 | 2024-11-01 21:10:00 
   20241101212000 | 20241101212000 | 2024-11-01 21:20:00 
   20241101220001 | 20241101220001 | 2024-11-01 22:00:01 
   20241102000000 | 20241102000000 | 2024-11-02 00:00:00 
   20241102000100 | 20241102000100 | 2024-11-02 00:01:00 
   20241102000200 | 20241102000200 | 2024-11-02 00:02:00 
   20241102000300 | 20241102000300 | 2024-11-02 00:03:00 
   20241102000400 | 20241102000400 | 2024-11-02 00:04:00 
   20241102010000 | 20241102010000 | 2024-11-02 01:00:00 
   20241102010050 | 20241102010050 | 2024-11-02 01:00:50 
   20241102010200 | 20241102010200 | 2024-11-02 01:02:00 
   20241102020000 | 20241102020000 | 2024-11-02 02:00:00 
   20241102140500 | 20241102140500 | 2024-11-02 14:05:00 
   20241102143000 | 20241102143000 | 2024-11-02 14:30:00 
   20241102150000 | 20241102150000 | 2024-11-02 15:00:00 

